Time,Torque,Angle,Rotating speed,Current
0,0.0,20,100,183
25,0.0,35,107,161
50,0.0,51,107,157
75,0.0,67,105,161
100,0.0,83,103,161
125,0.0,98,102,161
150,0.0,114,100,161
175,0.0,129,101,161
200,0.0,144,99,157
225,0.0,158,99,161
250,0.0,173,97,161
275,0.0,188,97,161
300,0.0,203,98,161
325,0.0,218,99,161
350,0.0,233,99,157
375,0.0,247,100,161
400,0.0,262,101,161
425,0.0,277,100,161
450,0.0,292,99,161
475,0.0,307,98,161
500,0.0,322,98,161
525,0.0,337,100,157
550,0.0,353,101,161
575,0.0,368,101,157
600,0.0,383,101,161
625,0.0,398,100,157
650,0.0,412,99,161
675,0.0,427,98,161
700,0.0,442,98,157
725,0.0,457,100,161
750,0.0,472,100,161
775,0.0,487,101,157
800,0.0,502,100,161
825,0.0,517,98,161
850,0.0,531,95,161
875,0.0,545,88,161
900,0.0,557,76,166
925,0.0,567,67,231
950,0.466,578,72,388
975,0.911,589,73,506
1000,1.176,600,75,602
1025,1.387,611,79,694
1050,1.635,624,82,772
1075,1.811,636,84,859
1100,1.929,649,88,916
1125,1.949,662,89,964
1150,2.059,675,90,1029
1175,2.18,689,90,1108
1200,2.284,702,92,1134
1225,2.339,716,92,1213
1250,2.439,730,95,1252
1275,2.462,744,94,1335
1300,2.525,758,94,1400
1325,2.549,773,95,1453
1350,2.579,787,95,1505
1375,2.132,801,95,1535
1400,2.639,816,96,1583
1425,2.639,830,100,1579
1450,2.639,845,100,1522
1475,2.639,860,97,1439
1500,2.639,875,101,1383
1525,2.639,890,100,1361
1550,2.639,905,99,1435
1575,2.639,920,98,1483
1600,2.639,935,99,1518
1625,2.639,950,97,1583
1650,2.639,965,100,1553
1675,2.639,980,100,1474
1700,2.639,995,101,1391
1725,2.639,1010,101,1365
1750,2.639,1025,103,1313
1775,2.639,1041,106,1165
1800,2.639,1057,110,1051
1825,2.639,1074,110,820
1850,0.799,1091,116,646
1875,0.082,1108,122,484
1900,0.0,1129,149,332
1925,0.0,1153,160,240
1950,0.0,1176,157,166
1975,0.0,1199,142,161
2000,0.0,1219,126,157
2025,0.0,1237,112,161
2050,0.0,1252,100,161
2075,0.0,1267,95,161
2100,0.0,1281,94,161
2125,0.0,1296,95,161
2150,0.0,1310,97,161
2175,0.0,1325,97,161
2200,0.0,1339,98,161
2225,0.0,1354,99,161
2250,0.0,1369,99,161
2275,0.0,1383,97,161
2300,0.0,1398,94,157
2325,0.0,1411,87,161
2350,0.0,1424,78,174
2375,0.0,1434,66,236
2400,0.516,1445,69,388
2425,1.151,1455,72,580
2450,1.38,1466,74,694
2475,1.564,1478,77,798
2500,1.846,1490,80,899
2525,1.966,1502,83,947
2550,2.058,1515,87,995
2575,2.111,1528,89,1043
2600,2.155,1541,92,1069
2625,2.155,1555,93,1086
2650,2.155,1570,95,1112
2675,2.155,1584,96,1112
2700,2.155,1598,96,1121
2725,2.155,1613,97,1165
2750,2.155,1628,99,1191
2775,2.155,1646,99,1091
2800,2.155,1661,99,1091
2825,2.155,1676,100,1112
2850,2.155,1691,98,1112
2875,2.155,1706,98,1165
2900,2.155,1721,98,1221
2925,2.155,1736,100,1256
2950,2.155,1751,101,1173
2975,2.155,1766,100,1051
3000,2.155,1781,101,1038
3025,2.155,1796,101,1051
3050,2.155,13,126,1357
3075,2.296,35,164,1653
3100,2.35,59,162,1570
3125,2.35,84,170,1732
3150,2.35,110,178,1828
3175,2.35,137,181,1863
3200,2.35,164,188,1841
3225,2.35,193,191,1784
3250,2.35,221,192,1810
3275,2.35,250,195,1823
3300,2.35,279,192,1810
3325,2.35,309,195,1876
3350,2.35,338,202,1727
3375,2.35,368,202,1601
3400,2.35,399,203,1365
3425,2.35,430,209,1300
3450,1.077,462,210,1178
3475,0.86,493,215,1073
3500,0.301,528,242,877
3525,0.0,566,275,667
3550,0.0,609,293,467
3575,0.0,653,288,318
3600,0.0,695,273,227
3625,0.0,735,255,174
3650,0.0,771,229,161
3675,0.0,804,209,161
3700,0.0,834,195,161
3725,0.0,835,0,161
3750,0.0,835,0,161
